LogId,BlockId,Timestamp,Level,Server,Component,PID,User,Message,FullLog,RootCause,Label
LOG0000069,blk_679984033,2024-01-01 00:05:43,ERROR,db-replica,java-app,23010,user_0082,Network interface eth1 link down,2024-01-01 00:05:43 ERROR [db-replica] java-app[23010]: Network interface eth1 link down,Network Issue,1
LOG0000070,blk_168965204,2024-01-01 00:05:45,ERROR,app-server,mysqld,47295,user_0055,Port scan detected from remote host,2024-01-01 00:05:45 ERROR [app-server] mysqld[47295]: Port scan detected from remote host,Security Attack,1
LOG0000083,blk_940348305,2024-01-01 00:06:51,ERROR,monitor-01,sshd,53181,user_0145,Network interface eth1 link down,2024-01-01 00:06:51 ERROR [monitor-01] sshd[53181]: Network interface eth1 link down,Network Issue,1
LOG0000090,blk_841536135,2024-01-01 00:07:26,ERROR,cache-01,postgres,50687,user_0062,ARP table overflow network flooding,2024-01-01 00:07:26 ERROR [cache-01] postgres[50687]: ARP table overflow network flooding,Network Issue,1
LOG0000094,blk_619904272,2024-01-01 00:07:47,ERROR,db-primary,nginx,15180,user_0190,Malware signature matched in process,2024-01-01 00:07:47 ERROR [db-primary] nginx[15180]: Malware signature matched in process,Security Attack,1
LOG0000099,blk_426240903,2024-01-01 00:08:13,ERROR,db-primary,mysqld,54159,user_0145,Connection timeout to 192.168.1.1 after 30s,2024-01-01 00:08:13 ERROR [db-primary] mysqld[54159]: Connection timeout to 192.168.1.1 after 30s,Network Issue,1
LOG0000116,blk_114682844,2024-01-01 00:09:35,ERROR,db-replica,mysqld,21365,user_0142,RAID array degraded missing disk,2024-01-01 00:09:35 ERROR [db-replica] mysqld[21365]: RAID array degraded missing disk,Disk Failure,1
LOG0000131,blk_253671484,2024-01-01 00:10:51,ERROR,monitor-01,nginx,33615,user_0150,ARP table overflow network flooding,2024-01-01 00:10:51 ERROR [monitor-01] nginx[33615]: ARP table overflow network flooding,Network Issue,1
LOG0000133,blk_555598254,2024-01-01 00:11:04,ERROR,web-02,redis,20605,user_0164,Stack overflow error in recursive function,2024-01-01 00:11:04 ERROR [web-02] redis[20605]: Stack overflow error in recursive function,Application Crash,1
LOG0000136,blk_932945529,2024-01-01 00:11:17,ERROR,monitor-01,network-manager,55580,user_0074,Disk I/O error on /dev/sda1,2024-01-01 00:11:17 ERROR [monitor-01] network-manager[55580]: Disk I/O error on /dev/sda1,Disk Failure,1
LOG0000139,blk_241905500,2024-01-01 00:11:31,ERROR,web-02,systemd,12510,user_0052,Network interface eth1 link down,2024-01-01 00:11:31 ERROR [web-02] systemd[12510]: Network interface eth1 link down,Network Issue,1
LOG0000146,blk_498370582,2024-01-01 00:12:08,ERROR,proxy-01,mysqld,26470,user_0117,Port scan detected from remote host,2024-01-01 00:12:08 ERROR [proxy-01] mysqld[26470]: Port scan detected from remote host,Security Attack,1
LOG0000150,blk_361530104,2024-01-01 00:12:28,ERROR,monitor-01,kernel,4314,user_0086,TCP retransmit storm detected on port 443,2024-01-01 00:12:28 ERROR [monitor-01] kernel[4314]: TCP retransmit storm detected on port 443,Network Issue,1
LOG0000163,blk_702998820,2024-01-01 00:13:33,ERROR,db-primary,postgres,4930,user_0151,High network latency 2500ms detected,2024-01-01 00:13:33 ERROR [db-primary] postgres[4930]: High network latency 2500ms detected,Network Issue,1
LOG0000170,blk_156488296,2024-01-01 00:14:07,ERROR,web-02,redis,40074,user_0022,Critical thread pool exhausted all workers busy,2024-01-01 00:14:07 ERROR [web-02] redis[40074]: Critical thread pool exhausted all workers busy,Application Crash,1
LOG0000171,blk_810751262,2024-01-01 00:14:11,ERROR,server-01,sshd,18832,user_0114,Dependency service unavailable circuit open,2024-01-01 00:14:11 ERROR [server-01] sshd[18832]: Dependency service unavailable circuit open,Application Crash,1
LOG0000174,blk_410791488,2024-01-01 00:14:25,ERROR,db-replica,mysqld,51080,user_0066,Bad sector detected at block 4096,2024-01-01 00:14:25 ERROR [db-replica] mysqld[51080]: Bad sector detected at block 4096,Disk Failure,1
LOG0000175,blk_671855941,2024-01-01 00:14:32,ERROR,app-server,mysqld,9466,user_0098,Privilege escalation attempt detected,2024-01-01 00:14:32 ERROR [app-server] mysqld[9466]: Privilege escalation attempt detected,Security Attack,1
LOG0000180,blk_475138838,2024-01-01 00:14:56,ERROR,proxy-01,postgres,13707,user_0199,Packet loss 40 percent on eth0 interface,2024-01-01 00:14:56 ERROR [proxy-01] postgres[13707]: Packet loss 40 percent on eth0 interface,Network Issue,1
LOG0000185,blk_993027458,2024-01-01 00:15:24,ERROR,cache-01,kernel,4728,user_0095,BGP session dropped unexpected reset,2024-01-01 00:15:24 ERROR [cache-01] kernel[4728]: BGP session dropped unexpected reset,Network Issue,1
LOG0000186,blk_596832859,2024-01-01 00:15:27,ERROR,monitor-01,redis,34231,user_0099,Packet loss 40 percent on eth0 interface,2024-01-01 00:15:27 ERROR [monitor-01] redis[34231]: Packet loss 40 percent on eth0 interface,Network Issue,1
LOG0000188,blk_866990485,2024-01-01 00:15:39,ERROR,cache-01,sshd,54147,user_0088,NullPointerException in UserService class,2024-01-01 00:15:39 ERROR [cache-01] sshd[54147]: NullPointerException in UserService class,Application Crash,1
LOG0000191,blk_877103091,2024-01-01 00:15:52,ERROR,proxy-01,systemd,19621,user_0065,Memory usage exceeded 95 percent,2024-01-01 00:15:52 ERROR [proxy-01] systemd[19621]: Memory usage exceeded 95 percent,Memory Overflow,1
LOG0000193,blk_950040559,2024-01-01 00:16:03,ERROR,web-01,postgres,25686,user_0165,Unauthorized access detected from IP address,2024-01-01 00:16:03 ERROR [web-01] postgres[25686]: Unauthorized access detected from IP address,Security Attack,1
LOG0000197,blk_927959968,2024-01-01 00:16:24,ERROR,db-primary,mysqld,12851,user_0178,XSS attack vector found in form submission,2024-01-01 00:16:24 ERROR [db-primary] mysqld[12851]: XSS attack vector found in form submission,Security Attack,1
LOG0000207,blk_753780028,2024-01-01 00:17:10,ERROR,db-primary,postgres,62618,user_0187,Disk timeout after 30 seconds,2024-01-01 00:17:10 ERROR [db-primary] postgres[62618]: Disk timeout after 30 seconds,Disk Failure,1
LOG0000222,blk_478557676,2024-01-01 00:18:28,ERROR,web-02,network-manager,3775,user_0187,Stack overflow error in recursive function,2024-01-01 00:18:28 ERROR [web-02] network-manager[3775]: Stack overflow error in recursive function,Application Crash,1
LOG0000225,blk_134773472,2024-01-01 00:18:41,ERROR,web-02,systemd,63224,user_0146,GC overhead limit exceeded,2024-01-01 00:18:41 ERROR [web-02] systemd[63224]: GC overhead limit exceeded,Memory Overflow,1
LOG0000226,blk_182555101,2024-01-01 00:18:49,ERROR,web-02,cron,30094,user_0196,Stack overflow error in recursive function,2024-01-01 00:18:49 ERROR [web-02] cron[30094]: Stack overflow error in recursive function,Application Crash,1
LOG0000227,blk_368018471,2024-01-01 00:18:54,ERROR,app-server,cron,43569,user_0072,Suspicious HTTP payload detected in request,2024-01-01 00:18:54 ERROR [app-server] cron[43569]: Suspicious HTTP payload detected in request,Security Attack,1
LOG0000228,blk_226444910,2024-01-01 00:18:55,ERROR,cache-01,postgres,26361,user_0144,Write failed no space left on device,2024-01-01 00:18:55 ERROR [cache-01] postgres[26361]: Write failed no space left on device,Disk Failure,1
LOG0000230,blk_577934499,2024-01-01 00:19:05,ERROR,cache-01,mysqld,59895,user_0183,Unauthorized access detected from IP address,2024-01-01 00:19:05 ERROR [cache-01] mysqld[59895]: Unauthorized access detected from IP address,Security Attack,1
LOG0000234,blk_871880418,2024-01-01 00:19:29,ERROR,server-02,java-app,27093,user_0184,Unauthorized access detected from IP address,2024-01-01 00:19:29 ERROR [server-02] java-app[27093]: Unauthorized access detected from IP address,Security Attack,1
LOG0000241,blk_547306651,2024-01-01 00:20:00,ERROR,web-01,nginx,51263,user_0147,SSL handshake timeout connection reset,2024-01-01 00:20:00 ERROR [web-01] nginx[51263]: SSL handshake timeout connection reset,Network Issue,1
LOG0000268,blk_819228743,2024-01-01 00:22:17,ERROR,monitor-01,nginx,16889,user_0013,DDoS attack detected high traffic volume,2024-01-01 00:22:17 ERROR [monitor-01] nginx[16889]: DDoS attack detected high traffic volume,Security Attack,1
LOG0000270,blk_612656440,2024-01-01 00:22:26,ERROR,db-primary,systemd,43787,user_0122,HDD temperature exceeded threshold 65C,2024-01-01 00:22:26 ERROR [db-primary] systemd[43787]: HDD temperature exceeded threshold 65C,Disk Failure,1
LOG0000274,blk_662982736,2024-01-01 00:22:49,ERROR,web-01,network-manager,43029,user_0140,High network latency 2500ms detected,2024-01-01 00:22:49 ERROR [web-01] network-manager[43029]: High network latency 2500ms detected,Network Issue,1
LOG0000280,blk_836665942,2024-01-01 00:23:16,ERROR,cache-01,java-app,11467,user_0104,Memory usage exceeded 95 percent,2024-01-01 00:23:16 ERROR [cache-01] java-app[11467]: Memory usage exceeded 95 percent,Memory Overflow,1
LOG0000284,blk_642762599,2024-01-01 00:23:37,ERROR,server-02,kernel,55314,user_0141,SSL handshake timeout connection reset,2024-01-01 00:23:37 ERROR [server-02] kernel[55314]: SSL handshake timeout connection reset,Network Issue,1
LOG0000292,blk_597146648,2024-01-01 00:24:19,ERROR,server-01,kernel,65126,user_0077,Port scan detected from remote host,2024-01-01 00:24:19 ERROR [server-01] kernel[65126]: Port scan detected from remote host,Security Attack,1
LOG0000295,blk_855147872,2024-01-01 00:24:31,ERROR,server-01,network-manager,40176,user_0173,RSS memory usage 98 percent critical,2024-01-01 00:24:31 ERROR [server-01] network-manager[40176]: RSS memory usage 98 percent critical,Memory Overflow,1
LOG0000297,blk_742009209,2024-01-01 00:24:40,ERROR,db-replica,redis,21899,user_0148,Critical thread pool exhausted all workers busy,2024-01-01 00:24:40 ERROR [db-replica] redis[21899]: Critical thread pool exhausted all workers busy,Application Crash,1
LOG0000304,blk_302038796,2024-01-01 00:25:16,ERROR,monitor-01,redis,3591,user_0019,Virtual memory exhausted cannot allocate,2024-01-01 00:25:16 ERROR [monitor-01] redis[3591]: Virtual memory exhausted cannot allocate,Memory Overflow,1
LOG0000310,blk_416960306,2024-01-01 00:25:46,ERROR,monitor-01,redis,48186,user_0107,HDD temperature exceeded threshold 65C,2024-01-01 00:25:46 ERROR [monitor-01] redis[48186]: HDD temperature exceeded threshold 65C,Disk Failure,1
LOG0000313,blk_789137659,2024-01-01 00:26:02,ERROR,cache-01,mysqld,61089,user_0139,Config file parse error service not starting,2024-01-01 00:26:02 ERROR [cache-01] mysqld[61089]: Config file parse error service not starting,Application Crash,1
LOG0000315,blk_500721199,2024-01-01 00:26:11,ERROR,server-01,nginx,34143,user_0117,Kernel OOM killer activated pid terminated,2024-01-01 00:26:11 ERROR [server-01] nginx[34143]: Kernel OOM killer activated pid terminated,Memory Overflow,1
LOG0000317,blk_118406723,2024-01-01 00:26:23,ERROR,web-01,postgres,65060,user_0074,HDD temperature exceeded threshold 65C,2024-01-01 00:26:23 ERROR [web-01] postgres[65060]: HDD temperature exceeded threshold 65C,Disk Failure,1
LOG0000321,blk_783703040,2024-01-01 00:26:40,ERROR,app-server,postgres,32195,user_0015,ARP table overflow network flooding,2024-01-01 00:26:40 ERROR [app-server] postgres[32195]: ARP table overflow network flooding,Network Issue,1
LOG0000327,blk_759132774,2024-01-01 00:27:10,ERROR,server-02,cron,40660,user_0197,TCP retransmit storm detected on port 443,2024-01-01 00:27:10 ERROR [server-02] cron[40660]: TCP retransmit storm detected on port 443,Network Issue,1
LOG0000332,blk_650229169,2024-01-01 00:27:35,ERROR,app-server,network-manager,37502,user_0143,SQL injection pattern detected in request,2024-01-01 00:27:35 ERROR [app-server] network-manager[37502]: SQL injection pattern detected in request,Security Attack,1
LOG0000333,blk_742144634,2024-01-01 00:27:43,ERROR,web-02,postgres,7099,user_0153,Packet loss 40 percent on eth0 interface,2024-01-01 00:27:43 ERROR [web-02] postgres[7099]: Packet loss 40 percent on eth0 interface,Network Issue,1
LOG0000336,blk_487754927,2024-01-01 00:27:55,ERROR,app-server,java-app,32734,user_0020,Critical thread pool exhausted all workers busy,2024-01-01 00:27:55 ERROR [app-server] java-app[32734]: Critical thread pool exhausted all workers busy,Application Crash,1
LOG0000339,blk_290736564,2024-01-01 00:28:14,ERROR,monitor-01,nginx,32392,user_0081,Suspicious HTTP payload detected in request,2024-01-01 00:28:14 ERROR [monitor-01] nginx[32392]: Suspicious HTTP payload detected in request,Security Attack,1
LOG0000342,blk_992582047,2024-01-01 00:28:29,ERROR,db-replica,network-manager,53277,user_0075,Disk controller failure reported,2024-01-01 00:28:29 ERROR [db-replica] network-manager[53277]: Disk controller failure reported,Disk Failure,1
LOG0000374,blk_845932321,2024-01-01 00:31:08,ERROR,app-server,postgres,50139,user_0072,Packet loss 40 percent on eth0 interface,2024-01-01 00:31:08 ERROR [app-server] postgres[50139]: Packet loss 40 percent on eth0 interface,Network Issue,1
LOG0000378,blk_573827182,2024-01-01 00:31:25,ERROR,server-01,sshd,61911,user_0041,Memory leak detected in application thread,2024-01-01 00:31:25 ERROR [server-01] sshd[61911]: Memory leak detected in application thread,Memory Overflow,1
LOG0000379,blk_424125621,2024-01-01 00:31:33,ERROR,db-replica,mysqld,58812,user_0167,Read error on sector 20480,2024-01-01 00:31:33 ERROR [db-replica] mysqld[58812]: Read error on sector 20480,Disk Failure,1
LOG0000381,blk_855590022,2024-01-01 00:31:41,ERROR,db-replica,systemd,43957,user_0024,Process killed memory limit reached,2024-01-01 00:31:41 ERROR [db-replica] systemd[43957]: Process killed memory limit reached,Memory Overflow,1
LOG0000382,blk_657749020,2024-01-01 00:31:45,ERROR,server-02,mysqld,39907,user_0058,Disk controller failure reported,2024-01-01 00:31:45 ERROR [server-02] mysqld[39907]: Disk controller failure reported,Disk Failure,1
LOG0000383,blk_612926731,2024-01-01 00:31:53,ERROR,server-02,systemd,46484,user_0034,Filesystem corruption detected on /data,2024-01-01 00:31:53 ERROR [server-02] systemd[46484]: Filesystem corruption detected on /data,Disk Failure,1
LOG0000393,blk_164927936,2024-01-01 00:32:40,ERROR,server-01,java-app,15138,user_0011,SMART error disk health critical,2024-01-01 00:32:40 ERROR [server-01] java-app[15138]: SMART error disk health critical,Disk Failure,1
LOG0000397,blk_753728820,2024-01-01 00:33:01,ERROR,app-server,sshd,30712,user_0157,Memory usage exceeded 95 percent,2024-01-01 00:33:01 ERROR [app-server] sshd[30712]: Memory usage exceeded 95 percent,Memory Overflow,1
LOG0000409,blk_782837348,2024-01-01 00:34:01,ERROR,server-01,nginx,36490,user_0089,Application deadlock detected waiting threads,2024-01-01 00:34:01 ERROR [server-01] nginx[36490]: Application deadlock detected waiting threads,Application Crash,1
LOG0000413,blk_354231714,2024-01-01 00:34:23,ERROR,server-01,systemd,44413,user_0034,SSL handshake timeout connection reset,2024-01-01 00:34:23 ERROR [server-01] systemd[44413]: SSL handshake timeout connection reset,Network Issue,1
LOG0000415,blk_213449146,2024-01-01 00:34:31,ERROR,db-primary,redis,8141,user_0040,TCP retransmit storm detected on port 443,2024-01-01 00:34:31 ERROR [db-primary] redis[8141]: TCP retransmit storm detected on port 443,Network Issue,1
LOG0000418,blk_481975879,2024-01-01 00:34:49,ERROR,db-primary,sshd,47606,user_0064,GC overhead limit exceeded,2024-01-01 00:34:49 ERROR [db-primary] sshd[47606]: GC overhead limit exceeded,Memory Overflow,1
LOG0000421,blk_377906552,2024-01-01 00:35:01,ERROR,web-02,sshd,39163,user_0151,XSS attack vector found in form submission,2024-01-01 00:35:01 ERROR [web-02] sshd[39163]: XSS attack vector found in form submission,Security Attack,1
LOG0000422,blk_198761306,2024-01-01 00:35:05,ERROR,db-replica,network-manager,54038,user_0033,SMART error disk health critical,2024-01-01 00:35:05 ERROR [db-replica] network-manager[54038]: SMART error disk health critical,Disk Failure,1
LOG0000423,blk_565098113,2024-01-01 00:35:12,ERROR,server-01,mysqld,61563,user_0147,Privilege escalation attempt detected,2024-01-01 00:35:12 ERROR [server-01] mysqld[61563]: Privilege escalation attempt detected,Security Attack,1
LOG0000429,blk_401649155,2024-01-01 00:35:41,ERROR,db-replica,kernel,59704,user_0200,RAID array degraded missing disk,2024-01-01 00:35:41 ERROR [db-replica] kernel[59704]: RAID array degraded missing disk,Disk Failure,1
LOG0000434,blk_665269791,2024-01-01 00:36:08,ERROR,db-replica,redis,15339,user_0006,OutOfMemoryError Java heap space,2024-01-01 00:36:08 ERROR [db-replica] redis[15339]: OutOfMemoryError Java heap space,Memory Overflow,1
LOG0000435,blk_290546084,2024-01-01 00:36:13,ERROR,db-replica,mysqld,23331,user_0184,RAID array degraded missing disk,2024-01-01 00:36:13 ERROR [db-replica] mysqld[23331]: RAID array degraded missing disk,Disk Failure,1
LOG0000436,blk_665104817,2024-01-01 00:36:17,ERROR,monitor-01,mysqld,51748,user_0029,Kernel OOM killer activated pid terminated,2024-01-01 00:36:17 ERROR [monitor-01] mysqld[51748]: Kernel OOM killer activated pid terminated,Memory Overflow,1
LOG0000438,blk_287048690,2024-01-01 00:36:27,ERROR,app-server,network-manager,43544,user_0082,SQL injection pattern detected in request,2024-01-01 00:36:27 ERROR [app-server] network-manager[43544]: SQL injection pattern detected in request,Security Attack,1
LOG0000442,blk_280267742,2024-01-01 00:36:48,ERROR,db-replica,cron,65381,user_0082,Segmentation fault core dumped,2024-01-01 00:36:48 ERROR [db-replica] cron[65381]: Segmentation fault core dumped,Application Crash,1
LOG0000451,blk_264915937,2024-01-01 00:37:31,ERROR,monitor-01,postgres,56040,user_0126,ARP table overflow network flooding,2024-01-01 00:37:31 ERROR [monitor-01] postgres[56040]: ARP table overflow network flooding,Network Issue,1
LOG0000456,blk_544514776,2024-01-01 00:37:55,ERROR,server-02,cron,53964,user_0139,Segmentation fault core dumped,2024-01-01 00:37:55 ERROR [server-02] cron[53964]: Segmentation fault core dumped,Application Crash,1
LOG0000462,blk_658010933,2024-01-01 00:38:25,ERROR,app-server,postgres,22373,user_0071,Firewall dropping packets from subnet,2024-01-01 00:38:25 ERROR [app-server] postgres[22373]: Firewall dropping packets from subnet,Network Issue,1
LOG0000464,blk_213424523,2024-01-01 00:38:38,ERROR,monitor-01,redis,50701,user_0026,Dependency service unavailable circuit open,2024-01-01 00:38:38 ERROR [monitor-01] redis[50701]: Dependency service unavailable circuit open,Application Crash,1
LOG0000467,blk_388390253,2024-01-01 00:38:53,ERROR,db-replica,kernel,49873,user_0122,GC overhead limit exceeded,2024-01-01 00:38:53 ERROR [db-replica] kernel[49873]: GC overhead limit exceeded,Memory Overflow,1
LOG0000468,blk_847520637,2024-01-01 00:38:57,ERROR,web-01,java-app,56236,user_0126,Bad sector detected at block 4096,2024-01-01 00:38:57 ERROR [web-01] java-app[56236]: Bad sector detected at block 4096,Disk Failure,1
LOG0000472,blk_590108029,2024-01-01 00:39:19,ERROR,db-replica,kernel,17350,user_0009,Disk timeout after 30 seconds,2024-01-01 00:39:19 ERROR [db-replica] kernel[17350]: Disk timeout after 30 seconds,Disk Failure,1
LOG0000475,blk_153312407,2024-01-01 00:39:32,ERROR,server-02,java-app,2798,user_0099,Critical thread pool exhausted all workers busy,2024-01-01 00:39:32 ERROR [server-02] java-app[2798]: Critical thread pool exhausted all workers busy,Application Crash,1
LOG0000477,blk_745471251,2024-01-01 00:39:44,ERROR,cache-01,mysqld,43426,user_0045,Disk I/O error on /dev/sda1,2024-01-01 00:39:44 ERROR [cache-01] mysqld[43426]: Disk I/O error on /dev/sda1,Disk Failure,1
LOG0000486,blk_460382610,2024-01-01 00:40:28,ERROR,proxy-01,mysqld,63057,user_0175,Brute force attack on SSH port 22 blocked,2024-01-01 00:40:28 ERROR [proxy-01] mysqld[63057]: Brute force attack on SSH port 22 blocked,Security Attack,1
LOG0000496,blk_170101400,2024-01-01 00:41:17,ERROR,proxy-01,redis,21061,user_0043,XSS attack vector found in form submission,2024-01-01 00:41:17 ERROR [proxy-01] redis[21061]: XSS attack vector found in form submission,Security Attack,1
LOG0000510,blk_767660223,2024-01-01 00:42:25,ERROR,db-primary,cron,24430,user_0113,Write failed no space left on device,2024-01-01 00:42:25 ERROR [db-primary] cron[24430]: Write failed no space left on device,Disk Failure,1
LOG0000516,blk_463247548,2024-01-01 00:42:57,ERROR,monitor-01,redis,15679,user_0172,HDD temperature exceeded threshold 65C,2024-01-01 00:42:57 ERROR [monitor-01] redis[15679]: HDD temperature exceeded threshold 65C,Disk Failure,1
LOG0000518,blk_268499484,2024-01-01 00:43:08,ERROR,monitor-01,kernel,1763,user_0165,Config file parse error service not starting,2024-01-01 00:43:08 ERROR [monitor-01] kernel[1763]: Config file parse error service not starting,Application Crash,1
LOG0000520,blk_184643708,2024-01-01 00:43:17,ERROR,proxy-01,systemd,27429,user_0061,Swap usage at 100 percent system thrashing,2024-01-01 00:43:17 ERROR [proxy-01] systemd[27429]: Swap usage at 100 percent system thrashing,Memory Overflow,1
LOG0000522,blk_986812783,2024-01-01 00:43:25,ERROR,server-01,postgres,36985,user_0001,ARP table overflow network flooding,2024-01-01 00:43:25 ERROR [server-01] postgres[36985]: ARP table overflow network flooding,Network Issue,1
LOG0000529,blk_244564312,2024-01-01 00:44:04,ERROR,cache-01,redis,63664,user_0130,Privilege escalation attempt detected,2024-01-01 00:44:04 ERROR [cache-01] redis[63664]: Privilege escalation attempt detected,Security Attack,1
LOG0000530,blk_618544245,2024-01-01 00:44:08,ERROR,proxy-01,systemd,55972,user_0150,Disk I/O error on /dev/sda1,2024-01-01 00:44:08 ERROR [proxy-01] systemd[55972]: Disk I/O error on /dev/sda1,Disk Failure,1
LOG0000538,blk_407751103,2024-01-01 00:44:48,ERROR,db-replica,java-app,50164,user_0042,NullPointerException in UserService class,2024-01-01 00:44:48 ERROR [db-replica] java-app[50164]: NullPointerException in UserService class,Application Crash,1
LOG0000539,blk_134688715,2024-01-01 00:44:52,ERROR,web-01,nginx,50387,user_0139,NullPointerException in UserService class,2024-01-01 00:44:52 ERROR [web-01] nginx[50387]: NullPointerException in UserService class,Application Crash,1
LOG0000545,blk_239657875,2024-01-01 00:45:24,ERROR,app-server,java-app,37477,user_0068,Failed login attempt 50 tries in 10 seconds,2024-01-01 00:45:24 ERROR [app-server] java-app[37477]: Failed login attempt 50 tries in 10 seconds,Security Attack,1
LOG0000547,blk_690729993,2024-01-01 00:45:34,ERROR,web-01,network-manager,52767,user_0147,RSS memory usage 98 percent critical,2024-01-01 00:45:34 ERROR [web-01] network-manager[52767]: RSS memory usage 98 percent critical,Memory Overflow,1
LOG0000548,blk_658996745,2024-01-01 00:45:37,ERROR,proxy-01,nginx,63717,user_0048,High network latency 2500ms detected,2024-01-01 00:45:37 ERROR [proxy-01] nginx[63717]: High network latency 2500ms detected,Network Issue,1
LOG0000551,blk_758956535,2024-01-01 00:45:50,ERROR,cache-01,nginx,60277,user_0165,Suspicious HTTP payload detected in request,2024-01-01 00:45:50 ERROR [cache-01] nginx[60277]: Suspicious HTTP payload detected in request,Security Attack,1
LOG0000554,blk_279738803,2024-01-01 00:46:08,ERROR,web-02,postgres,6396,user_0025,Swap usage at 100 percent system thrashing,2024-01-01 00:46:08 ERROR [web-02] postgres[6396]: Swap usage at 100 percent system thrashing,Memory Overflow,1
LOG0000557,blk_699238353,2024-01-01 00:46:22,ERROR,server-01,mysqld,53049,user_0065,Memory usage exceeded 95 percent,2024-01-01 00:46:22 ERROR [server-01] mysqld[53049]: Memory usage exceeded 95 percent,Memory Overflow,1
LOG0000564,blk_191404267,2024-01-01 00:46:55,ERROR,monitor-01,systemd,36202,user_0141,RSS memory usage 98 percent critical,2024-01-01 00:46:55 ERROR [monitor-01] systemd[36202]: RSS memory usage 98 percent critical,Memory Overflow,1
LOG0000577,blk_250721880,2024-01-01 00:48:04,ERROR,monitor-01,mysqld,50624,user_0132,Disk timeout after 30 seconds,2024-01-01 00:48:04 ERROR [monitor-01] mysqld[50624]: Disk timeout after 30 seconds,Disk Failure,1
LOG0000578,blk_619157832,2024-01-01 00:48:08,ERROR,monitor-01,mysqld,49229,user_0188,Dependency service unavailable circuit open,2024-01-01 00:48:08 ERROR [monitor-01] mysqld[49229]: Dependency service unavailable circuit open,Application Crash,1
LOG0000579,blk_351275639,2024-01-01 00:48:12,ERROR,db-replica,sshd,18324,user_0095,Memory leak detected in application thread,2024-01-01 00:48:12 ERROR [db-replica] sshd[18324]: Memory leak detected in application thread,Memory Overflow,1
LOG0000593,blk_834834366,2024-01-01 00:49:23,ERROR,db-replica,postgres,57334,user_0130,Failed login attempt 50 tries in 10 seconds,2024-01-01 00:49:23 ERROR [db-replica] postgres[57334]: Failed login attempt 50 tries in 10 seconds,Security Attack,1
LOG0000600,blk_554795749,2024-01-01 00:49:57,ERROR,monitor-01,java-app,18124,user_0138,ARP table overflow network flooding,2024-01-01 00:49:57 ERROR [monitor-01] java-app[18124]: ARP table overflow network flooding,Network Issue,1
LOG0000606,blk_659425442,2024-01-01 00:50:27,ERROR,app-server,systemd,41236,user_0168,Connection timeout to 192.168.1.1 after 30s,2024-01-01 00:50:27 ERROR [app-server] systemd[41236]: Connection timeout to 192.168.1.1 after 30s,Network Issue,1
LOG0000616,blk_346885603,2024-01-01 00:51:18,ERROR,app-server,nginx,45362,user_0180,Unauthorized access detected from IP address,2024-01-01 00:51:18 ERROR [app-server] nginx[45362]: Unauthorized access detected from IP address,Security Attack,1
